Input	Result
A fine noble gentleman, honest and upright, he gained the respect of everybody	1
He seemed a decent fellow - honest, upright, considerate, and willing to put others before himself	1
The vast majority of them are decent, upright people who share our horror at what has happened	1
We need upright people in the council because there is important work to do	1
He clearly was not a law-abiding person	1
He was clearly not an upstanding member of the local community	1
I found out he was an upstanding and respected officer	1
They are potentially fine upstanding members of the community	1
It's nice to know what a fine upstanding member of society he finds me	1
They are interested in lofty visions and high-minded idealism	1
It's unquestionably a high-minded and ambitious piece of work	1
This death cult should be regarded with abhorrence by all decent and right-minded people	1
Any right-minded individual knows what is the right thing to do in this situation	1
Would you agree that a right-minded person would help to uphold the law and do good in their community	1
They simply want it to be guided by right-minded individuals	1
I have no doubt that your Honour is a right-thinking member of society	1
Most right-thinking people feel it's important to do good when they can	1
We trust the vast majority of right-thinking people to be able to do the right thing	1
Whistleblowers are highly principled people who are in the job because they thought they could do it in an ethical manner	1
The town would like to give you an award for exemplary community service	1
Within the community she is viewed as an exemplary role model	1
Our teacher is our inspiration and an exemplary role model to all as he is loyal, loving, caring and a mentor to us	1
his preparation, concentration and behaviour are now exemplary	1
For you to be considered for the position, you need to make sure you show exemplary work	1
His work habits and attitudes are acknowledged by his employer as exemplary	1
We need to be morally upright, like chaste virgins before God, pure and clean	1
She looked so innocent, so clean that it was impossible to believe this creature could be anything other than good	1
this must be done in sincerity, with the desire to be spiritually clean and pure	1
people enjoy having that emotion because it's a very clean and pure emotion	1
Childhood for most is clean and innocent	1
Our center will provide a way for them to learn the art of clean, wholesome living and social responsibility	1
More likely the product of those years, in the main, turned into decent law-abiding members of society	1
we also want the rights of all law-abiding citizens to be respected and protected as well	1
They are all law-abiding citizens and actively wish to contribute to society	1
The vast majority of people try to be decent, honest, law-abiding people	1
They want the community where the decent, law-abiding majority are in charge	1
Two highly disciplined and law-abiding populations meekly submitted to defeat	1
we'll do our best to make it as lawful as possible	1
law renders an arrest lawful if the officer has reasonable grounds for suspicion	1
The law is absolutely clear	1
Customers have nothing to fear if they earned their money from lawful business activities	1
Only a resolute leader who sets an irreproachable personal example stands any chance of making headway	1
The level of care they gave to my mother was irreproachable, so professional and understanding	1
The cooking is really rather good and it represents irreproachable value for money	1
To his admirers he was a resolute, wily, irreproachable and indomitable champion of the workers' cause	1
he led a blameless life	1
He has told his fellow coaches that they have to be blameless, beyond reproach in everything they do	1
he was a perfectly blameless young man	1
My family was blameless in this situation	1
They are, no matter what happened in this case, blameless here	1
you don't need a pardon if you're guiltless	1
Will it be some innocent school child, some caring parent, or some elderly guiltless person	1
an unimpeachable witness	1
one unimpeachable witness in the court of history is sufficient	1
Here is a man who had an unimpeachable reputation	1
There's an unimpeachable identification for you	1
They said it came from an unimpeachable source	1
fighting for a just cause	1
a just and democratic society	1
She is a fair and just ruler	1
From the beginning we have been asking for fair and honest elections	1
All but four members of the commission said that the last election was fair and honest	1
He had a reputation of being ‘a reliable, honest and tactful official’	1
this is the only honorable course	1
a decent and honorable man	1
The leader of the trade union said he believed Mr Smith had done the honourable thing by resigning	1
And so he has done the honourable thing and admitted US election defeat	1
These are honourable motives for getting involved in the political process	1
There was a trip to France to see something called the incorrupt saint	1
We are even inclined to acknowledge someone's holiness if she lies incorrupt in a glass case	1
she's too scrupulous to have an affair with a married man	1
Ensure that the source is legitimate and reputable	1
Make sure that whoever you purchase from is reputable and trustworthy	1
a reputable company	1
There will always be excellent games coming out from reputable developers	1
Knoedler purchased the painting from a reputable dealer in Paris that same year	1
the good name of such a decent and innocent person	1
We could help to maintain decent moral standards in advertising, by using our own purchasing power ethically	1
We have a lot of nice, decent people who come here to drink	1
The townsfolk here are very polite and decent to newcomers	1
They have some good ideas of what can be expected of a respectable young person	1
We want our children to become valuable and respectable members of society	1
Maybe it would make her more respectable, more proper	1
It was much too late for chatting; any respectable lady would have retired to her quarters	1
He was very well-regarded by a lot of people and he did well in representing a respectable society	1
It was a good thing that Allan had the true noble morals and the principles which prevented him from ever taking advantage of Chase's loyalty	1
the promotion of human rights was a noble aspiration	1
A fine noble gentleman, honest and upright, he gained the respect of everybody	1
Kate was a lady imbued with many fine and noble qualities	1
Her generation knew all about sacrifice and were a noble people with a fine sense of community and idealism	1
Granted, I was now on the right side of the Iron Curtain, where the reasons for conducting propaganda were more noble, but the principles remained the same	1
Can there be a more noble, unselfish profession	1
His intentions were noble when he offered his help	1
Many people often strive for a noble and lofty goal	1
The lofty ideal found many spontaneous takers	1
Over the years he has stayed true to that lofty ideal	1
Hopefully, my fortune will assist him in achieving that lofty goal	1
Do they have the same lofty goals and aspirations as the other townspeople 	1
the elevated canon of great literary texts	1
promise to keep the debate at a more elevated level	1
generous donations to worthy causes	1
We are fighting for a worthy cause	1
It takes time and effort to overcome such obstacles that are inevitable in a worthy and noble endeavour	1
If you lift the hammer, you are worthy	1
Whosoever holds this hammer, if he be worthy, shall posses the power of Thor	1
leave a spare key with a trustworthy neighbor	1
A caring neighbour both honest and trustworthy, he loved the affairs of the day	1
You prefer to describe yourself as dependable, honest, practical and trustworthy	1
He's very trustworthy, he's honest and he's much braver than I am, as a gamekeeper he has to be	1
The impression that he gave me was that he was a very honest and trustworthy young man	1
By being honest and trustworthy, you are marketing yourself to prospective customers	1
Once employed, I class myself as a trustworthy and reliable person, despite the fact I have a back problem	1
I would like to think they would say I am trustworthy, helpful and reliable	1
He looks very professional and trustworthy	1
It has also been helping many meritorious students, every year, to pursue their education by providing them scholarships	1
At the same time, those who render meritorious service should be given due recognition with fitting rewards	1
The medals worn by them are not only for bravery but also for meritorious service and for spending more than a year in dangerous operational sectors	1
they displayed a praiseworthy sense of responsibility	1
All these initiatives are praiseworthy and creditable to the new and youthful management team	1
The apostle Paul implores us to be a thinking people - a people who press toward excellence and praiseworthy things	1
In that case, their achievement has been praiseworthy	1
Would it seem conceited to accept a compliment graciously, to acknowledge that there may actually be something praiseworthy about me	1
Steve Sterling did a commendable job in his first year at the helm on Long Island	1
You showed commednable resolve in the face of danger	1
Given just a couple hours to tell a tale I think all in all the folks involved did a commendable job	1
Still, he always does a commendable job of putting a lot of good facts together in a small space	1
It is especially commendable that he has made so many characters come to life in verse	1
This is very commendable as far as standards and professionalism are concerned.	1
This is very commendable and those people have, I am sure, the silent thanks of the general public	1
he has one admirable quality—he is totally honest	1
They demonstrated an admirable grasp of the first rule of business: adapt to survive	1
This town and its people has many admirable qualities	1
There is something admirable about her toughness	1
There is a plethora of admirable precedents to this form of conservatism	1
Perfection is a laudable aim in sport but rarely, if ever, is it attainable	1
Obviously, it's a laudable goal	1
Senior officers in the transport department agree that Minister's intention may be laudable	1
It is a laudable impulse to try to increase your understanding of voters in other parts of the country	1
our fondness for each other is pure and innocent	1
From this standpoint, rural people and their culture represent a negation of everything that is wholesome and pure about nature	1
My heart is pure and unsullied	1
Our country needs men with ‘clean’ hands, pure hearts and a vision for the future, clearly written in honesty and integrity	1
Unicorns are renowned for their pickiness, only allowing human and elfin maidens of pure heart to ride them	1
He personified the pure, blissful soul nature they sought and sensed as the center of themselves	1
It is asserted that she was ‘full of grace’ and that she was free from original sin and sinless for her whole lifetime.	1
This child has only done good things and is sinless	1
a truly saintly woman	1
This man has done so much good for everyone, to paint this man as a saintly, pious ‘spiritual leader’ is expected.	1
Historians have long probed Lincoln's life and character, seeking the key to his almost saintlike standing in the American pantheon	1
how to live the godly life	1
The paladins have a lot to do with spiritual knowledge or godly religious life	1
Job, as a godly father, prayed for the spiritual well-being of his family	1
His faith in God was more than talk; it was expressed by godly living	1
To them he was an intriguing miracle worker who dazzled the masses with amazing demonstrations of godly power	1
Then, when we come up against difficulties and controversies, we are ready with a wise and godly response	1
she looks remarkably young and angelic	1
Paladins and priests have and angelic appearance most of the time	1
He had a beautiful young wife, three children and an angelic cat	1
He looks such an angelic lad	1
He is accompanied by his very pretty soft-spoken wife and their two angelic daughters	1
By the time we were eighteen, the angelic girl I met in kindergarten was long gone	1
She was so caring, so beautiful and angelic	1
the crowd was very well behaved	1
These fine young gentleman were well-behaved and very mannerly	1
The end, which is to bring up well-behaved, considerate and law-abiding citizens, justifies the means a thousand-fold	1
My charming, loving, sweet, gentle, handsome, well-behaved son had emptied a bottle of nail polish remover	1
He was a very polite, well-behaved and quiet young boy	1
If you encounter children who are well-behaved, considerate, remarkable, tell the parents how much you appreciate their commitment to raising these kinds of kids	1
They described him as a well-behaved, shy boy with good manners and an angelic face	1
a docile and obedient dog	1
children are taught to be obedient to their parents	1
They are expected to be obedient and comply with requests from adults immediately	1
Children are expected to be obedient and to show respect for their elders	1
pristine, obedient soldiers standing to attention	1
No one knows what to make of her because she seems so obedient	1
a dutiful daughter	1
With Mimi he was expected to be neatly groomed, dutiful and obedient	1
The aristocratic families are loyal and dutiful	1
He's polite, well-mannered and does not swear	1
He was an exceptionally well-mannered and polite lad	1
I am glad that I have well-mannered, kind, respectful kids	1
These refugees are well-mannered, respectful and, even in donated clothes, carry themselves with pride	1
Well brought up, properly raised or educated, especially so as to be well-behaved or good-mannered	1
he was far too polite to the other members of his team	1
It seemed only polite to say goodnight with a kiss	1
He was extremely polite to his opponents	1
I think it's only polite to make the effort	1
Most of the kids were too polite to tell it to their parents	1
You know we try our best in work to be helpful and polite to people	1
we tried to be civil to him	1
The point of being polite or civil to another human being is to demonstrate respect	1
I'll be polite and civil to him	1
he was quite empathetic and was still civil to me	1
All sides are remaining civil, which is a very good thing	1
she was courteous and obliging to all	1
a courteous young man	1
But you can at least be polite, courteous and respect the fact that your views are very different to theirs	1
Andrew was a very gentle, courteous man with huge respect for everyone he worked with	1
They were respectful and courteous and asked my father's permission to speak to him alone	1
Sean was a pleasant, courteous and gracious neighbour who could always be relied on to lend a helping hand	1
A pleasant and courteous gentleman, he was highly regarded as a neighbour and friend	1
But shop assistants insisted the star was polite and courteous throughout her visit	1
Tom was a pleasant courteous gentleman who was well liked in the local farming community	1
they sit in respectful silence	1
Unlike us, she will be mindful of the dangers; respectful of the distance and her rivals	1
All we are asking is that we be treated in a respectful manner and spoken to in a respectable tone of voice	1
If someone wants to be polite and respectful to me, the best thing I can do is be the same back to them	1
He's a fantastic young man, is very respectful and comes highly recommended	1
people were always deferential to him	1
the situation was manageable	1
Being able to discuss your fears with another adult may make them seem more manageable	1
It seems a manageable challenge as long as I only look at one small element at a time	1
a compliant labor force	1
As a bonus, the ingrained discipline and level of fitness of a dancer makes them generally compliant to hold poses for longer periods than the average client or model, without discomfort or complaint	1
Isn't it great to have a student who is predictably polite and compliant	1
he proved to be abnormally suggestible, compliant and acquiescent	1
Children are amazingly docile and compliant, obediently following the instructions of their elders as if they know no other way	1
the unions were acquiescent and there was no overt conflict	1
You have a sympathetic, tractable nature	1
Your malleable personality is impressive	1
I hope we're doing the right thing	1
Are you sure we are doing the right thing	1
you were quite right to criticize him	1
If they can do it in a way that they feel is morally and ethically right, that's fine	1
Rallies and legitimate demonstrations are right and proper ways of making their feelings known.	1
When we follow our conscience, we weigh the arguments and do what we recognise to be right	1
It is enough to say that we have always contended that it is right and proper that that decision is in the hands of the judges	1
I am satisfied, however, that it would be right to allow this evidence to go before the jury	1
he was a polite man, invariably correct and pleasant with Mrs. Collins	1
He is the fountain-head of good manners and correct social behaviour as well as the ultimate spiritual and ethical guide	1
These phrases are a demand that individuals submit to a code for correct behaviour	1
a very prim and proper lady	1
It is proper to intervene for the sake of good	1
It is considered proper, right, and just to protect the weak when you are able to.	1
dancing with decorous space between partners	1
It is impressive to remain mannered, decorous, and polite all the time	1
My departure was seemly enough	1
Several elements contribute to making this meal such a seemly expression of affection	1
As soon as she judged it seemly, she went to him	1
In this circumstance it is appropriate to depend upon a set of rules for swift action	1
The state, apparently, is to decide what material is appropriate for academic inquiry	1
It's appropriate to apologise when you've been wrong but re-writing the past is not an option	1
Until the cause was known, he said it would not be appropriate to comment	1
It is now appropriate to approach the royalty with your request	1
It is appropriate that we do our best to help the town	1
a fitting reward	1
it was fitting that he should reply	1
I take it that you think it is an appropriate, a proper, and a fitting situation	1
Yet he is gentle and attentive at the most unexpected, but appropriate and fitting times	1
an apt description of her nature	1
In many cases this description is still apt for onlookers	1
It really does look like a jungle, so his description was apt	1
You are a suitable candidate to solve the towns problem	1
This event is suitable for people of all ages	1
the new parking lot will make shopping much more convenient	1
A more convenient but less effective option is to use a liquid extract	1
If you can offer a more convenient option to customers, that is valuable	1
No problem arises without them finding the most practical and expedient solution	1
this is the only honourable course	1
a decent and honourable man	1
The leader of the trade union said he believed Mr Smith had done the honorable thing by resigning	1
And so he has done the honorable thing and admitted US election defeat	1
These are honorable motives for getting involved in the political process	1
their demands rarely received a favourable response	1
a favourable prognosis	1
A more favourable outcome is anticipated tomorrow	1
their demands received a favourable response	1
We've had a very favourable response from customers	1
The fund, which is currently operational, has received a favourable response	1
their demands rarely received a favorable response	1
a favorable prognosis	1
A more favorable outcome is anticipated tomorrow	1
their demands received a favorable response	1
We've had a very favorable response from customers	1
The fund, which is currently operational, has received a favorable response	1
It comes into my life at an auspicious moment	1
This is an auspicious moment for our town	1
the timing for such a meeting seemed propitious	1
He also believed it was an opportune time to walk away	1
This is perhaps the most opportune time to make a beginning	1
I decided that this was the opportune time for me to make my move	1
The beginning of the academic year is an opportune time to reflect on education and its role in society	1
a felicitous phrase	1
I have always felt that I manifest a felicitous combination of his compassion and her boundaries	1
a timely warning	1
In the first case, a timely coup could be sufficient to avert an invasion	1
The decision to help this town was well judged to be the correct course of action	1
a well timed exit	1
The sale was well timed	1
That was a well timed rescue	1
a reliable source of information	1
She's my best friend and she vowed to me that she had received this intelligence from a reliable source	1
If you get it pure from a reliable source, it gives you the energy to pursue a project to the very end and get it as right as it will ever get	1
Health services are responsible for ensuring the information exists and is reliable and accessible	1
However, I went further than this in seeking reliable information from victims	1
a dependable supply of cold beer	1
he was a true friend	1
He was faithful, true, a loyal friend, a good son, and he was wise beyond his years	1
She is remembered as a devoted family woman and a true and loyal friend	1
If we want this province to grow and prosper, let us try to be obedient, loyal, true and faithful	1
The support of your true friends should help you get through it all.	1
They mean you will have true and loyal friendship and success in love.	1
She was devoted to her family and was a fine neighbour and true friend	1
employees who had notched up decades of faithful service	1
He has remained a faithful and steadfast cheerleader for Langley	1
This, the village elders said, was the way friendship was supposed to be - true and faithful, long-lasting and firm	1
sometimes we are gifted with good friends who are also faithful and truthful	1
he was a devoted husband	1
Leo was devoted to his job	1
It's simply the most intelligent approach: to put people first and reap the rewards of having a team of loyal, devoted employees	1
We made them what they are through millennia of selective breeding until they became the perfect companion animal - loyal, loving, devoted	1
The townsfolk were loyal and devoted followers of the church	1
a solid, steady young man	1
He was one of the most sensible and steady people I've known	1
Poets are the most down-to-earth, loyal, steady people that have ever been	1
steadfast loyalty	1
As for the coronation of the new King, it stands firm, steadfast and unshaken	1
You've got to just hold steady and steadfast and unwavering in certain situations	1
As a paladin you should remain steadfast in your faith and conviction to doing the right thing	1
What I did have is a steadfast belief in the vitality of music	1
a staunch supporter of the antinuclear lobby	1
The governor is a staunch supporter of bettering the lives of the people in the town	1
The new pope is a staunch peacekeeper	1
unswerving loyalty	1
His tenacious spirit and unswerving loyalty came in for praise	1
You are deserving of praise for maintaining such unswerving loyalty to the crown for all these years	1
With unwavering resolve we support plurality, egalitarianism, and the political process	1
I'm lucky that I've had unwavering support on this from my parents, my friends, and my advisors	1
Her return to health is a testament to her unwavering resolve and will to live	1
a constant friend	1
At that very road crossing, he had said a tearful good-bye to his constant companion and best friend	1
For the glitterati, pets very often are their most devoted and constant friends and, therefore, enjoy the best money can buy	1
He has been my constant companion for over 11 years and a more faithful and devoted one I shall never have	1
Having a good, constant friend is important, and being in a prosocial peer group where one is accepted is even better	1
she helps, and stays around to help more, becoming a constant friend	1
he remained loyal to the government	1
the paladins are loyal to the church and clergy	1
Followers electing a king were also proclaiming themselves as his loyal supporters	1
He was the sort of person who was very loyal to his friends	1
A loyal friend is one of the best things in the word, because you can always trust them to be there as a constant shoulder to lean on.	1
many heroes relied on their trusty steeds	1
Crowd cheering, the trusty steed galloped at high speed for the winning post	1
Nothing more was needed than a steady hold on the reins of her trusty steed	1
a team of dedicated doctors	1
A group dedicated to doing the right thing	1
Sometimes people show an incredible amount of loyalty towards people they are dedicated to	1
A dedicated teacher and devoted mother	1
He was very much a family man - a devoted husband and a dedicated dad and granddad	1
a committed reformer	1
After months of dedicated practice by a committed cast the end result was a superb performance by one and all	1
his mother had always been an unfailing source of reassurance	1
My sister Ann and her family have also been an unfailing source of support in good as well as hard times	1
Everyone on the team demonstrated an unfailing cheerfulness that served us well	1
The town showed unfailing trust in their leader during tough times	1
Thank you all for your unfailing professionalism and courtesy over the past six-and-a-half weeks	1
she was a good, kind woman	1
he was very kind to me	1
The Chaplain was kind and polite and tried his level best to be decent.	1
And furthermore, he has mellowed a lot in his old age, and is very kind to everyone	1
He was also very kind to all the livestock in his care	1
Good natured, kind and generous, Mary Ellen was held in great regard by all in the community	1
So, I, being your benevolent, kind and generous friend, decided to get you a new cat for your birthday	1
Staff were really sweet and friendly, helpful, kind and generous	1
she said kindly	1
To put it kindly, the manner in which juniors are treated varies a great deal from club to club	1
To put it kindly, the town is in need of your help	1
Is it possible for you and your husband to talk honestly, kindly and straightforwardly to each other?	1
Kaezik answered her kindly, a model of charm and manners	1
He says it kindly, and I think that he might actually respect my opinion.	1
she was friendly and kindhearted	1
a kindhearted local shopkeeper	1
She was a good natured and kind-hearted lady who delighted in helping friends and neighbours	1
I like the governor, she's really warm and kind-hearted!	1
a good-hearted woman who tried to do her best	1
both are sincere, dedicated, good-hearted people	1
the movie itself is I think very good-hearted at its core	1
He was a good-hearted man who loved me and his son	1
People who are ‘good with kids’ always seem like the most genuine, good-hearted folk	1
they were friendly to me	1
she gave me a friendly smile	1
one of the most obliging stewards	1
The staff of the school have been very obliging and friendly.	1
And this open-handed warmth equally encompasses the friendly, obliging ship's crew	1
Those who wanted to attain success ought to be generous and well disposed towards others	1
it was generous of them to ask her along	1
To her family she was a loving, kind-hearted and generous mother and grandmother	1
Tim was noted at all times for his generous, caring and compassionate nature	1
He was a great neighbour and generous friend and his kind nature and good humour endeared him to many	1
he had to collect his daily food from charitable people	1
Anything else we do after that is charitable and generous	1
They are by nature generous, kind-hearted and charitable people	1
He is one of the most genuinely charitable people I know, giving of both his time and his money	1
A friendly and charitable man Bill was very popular throughout the area and highly respected	1
she should be magnanimous in victory	1
He always showed a wonderful degree of sportsmanship and in victory or defeat was magnanimous to the other side.	1
I wish to thank you for all your support last night and the magnanimous gesture of giving me your water bottle	1
smiling and gracious in defeat	1
A pleasant, courteous and gracious lady, Vera was highly thought of by all in the community	1
A pleasant, courteous and gracious lady, she was well liked by her neighbours in the locality	1
Sean was a pleasant, courteous and gracious neighbour who could always be relied on to lend a helping hand	1
he was sympathetic toward staff with family problems	1
he spoke in a sympathetic tone	1
he should have been more sympathetic toward them	1
He gave me a sympathetic smile and wiped away the tears from my face	1
a benevolent smile	1
James has a winning grin, a benevolent smile and an infectious laugh	1
His benevolent smile was topped by the warm charm flowing from his eyes	1
These organisations project a reputation of being caring, considerate and benevolent.	1
On many accounts it was transcribed that they were gracious and benevolent.	1
his benign but firm manner	1
her face was calm and benign	1
She was a benign, kind and gentle lady whom Julia had admired, respected and adored greatly	1
He had a warm, benign nature and offered himself to you as a friend and ally	1
it was an entirely altruistic act	1
His benevolent and altruistic nature made him very well known to everyone in the area	1
Humans are far more co-operative and altruistic than any other species	1
She thanked the men and women of the military for their courage, dedication and unselfish humanity	1
His unselfish and noble virtues have earned him huge respect across all shades of political opinion	1
an act of selfless devotion	1
The winners were chosen for showing bravery in the face of disability, illness or selfless devotion to others.	1
In the film he is someone with a generous heart and an open mind, sensitive, selfless and even noble	1
Anyone with a noble thought or a selfless instinct winds up dead or surrendering to despair	1
He is a selfless individual always keen to help others, particularly his own family and his neighbours	1
a cheerful and agreeable companion	1
The woman smiles, quite pleased by his agreeable tone	1
Come on, he was just inferring that children - untainted by a harsh and brutal world - were innocent and agreeable companions	1
good wholesome fun	1
The parent can then suggest wholesome alternatives to achieve the same end.	1
The emphasis is on good, wholesome fun, and relaxation for the family with an enviable spread of good food and activities	1
An event that packs in fun, frolic and wholesome entertainment is just round the corner	1
We're also allowed to say nice wholesome things and there has been an extraordinary amount of that about	1
Our center will provide a way for them to learn the art of clean, wholesome living and social responsibility.	1
Though we may have started out extending a wholesome influence on only one person, that influence could expand to many others	1
a genuine attempt to delegate authority	1
she had no doubts as to whether Tom was genuine	1
It is a shame that governments do not have the same genuine compassion shown by ordinary citizens	1
The meeting is open to all with a genuine interest in having a say in the future of their community	1
To be authentic and responsible, faith must be free	1
Self-expression is validated as a genuine and authentic act, and is often favourably contrasted to what is perceived as the estranged artificial world of politics	1
his claims to legitimate authority	1
They are laws because they are instructions given by a legitimate authority	1
bad	0
dreadful	0
awful	0
terrible	0
abominable	0
frightful	0
atrocious	0
disgraceful	0
deplorable	0
hopeless	0
worthless	0
lamentable	0
miserable	0
diabolical	0
harmful	0
damaging	0
detrimental	0
undesirable	0
injurious	0
hurtful	0
inimical	0
dangerous	0
destructive	0
ruinous	0
deleterious	0
unhealthy	0
unwholesome	0
wicked	0
sinful	0
immoral	0
evil	0
morally wrong	0
corrupt	0
base	0
black-hearted	0
depraved	0
degenerate	0
dissolute	0
amoral	0
crimial 	0
villainous	0
nefarious	0
iniquitous	0
dishonest	0
dishonourable	0
unscrupulous	0
unprincipled	0
naughty	0
badly behaved	0
disobedient	0
wayward	0
wilful	0
self-willled	0
defiant	0
unruly	0
insubordinate	0
undisciplined	0
unmanageable	0
uncontrollable	0
ungovernable	0
unbiddable	0
disruptive	0
rebellious	0
refractory	0
recalcitrant	0
mischievous	0
impish	0
roguish	0
unpleasant	0
disagreeable	0
unwelcome	0
unfortunate	0
unfavourable	0
unfavorable	0
adverse	0
nasty	0
terrible	0
dreadful	0
awful	0
grim	0
distressing	0
wrong	0
wrongful	0
ungodly	0
unholy	0
foul	0
vile	0
ignoble	0
vicious	0
malicious	0
malevolent	0
demonic	0
devilish	0
diabolic	0
fiendish	0
despicable	0
heinous	0
odious	0
contemptible	0
horrible	0
execrable	0
subversive	0
not good	0
not fine	0
not virtuous	0
not righteous	0
not moral	0
not morally correct	0
not ethical	0
not upright	0
not upstanding	0
not high-minded	0
not right-minded	0
not right-thinking	0
not principled	0
not exemplary	0
not clean	0
not law-abiding	0
not lawful	0
not irreproachable	0
not blameless	0
not guiltless	0
not unimpeachable	0
not just	0
not honest	0
not honourable	0
not honorable	0
not unbribable	0
not incorruptible	0
not anti-corruption	0
not scrupulous	0
not reputable	0
not decent	0
not respectable	0
not noble	0
not lofty	0
not elevated	0
not worthy	0
not trustworthy	0
not meritorious	0
not praiseworthy	0
not commendable	0
not admirable	0
not laudable	0
not pure	0
not sinless	0
not saintly	0
not saintlike	0
not godly	0
not angelic	0
not well behaved	0
not obedient	0
not dutiful	0
not well mannered	0
not well brought up	0
not polite	0
not civil	0
not courteous	0
not respectful	0
not deferential	0
not manageable	0
not compliant	0
not acquiescent	0
not tractable	0
not malleable	0
not right	0
not correct	0
not proper	0
not decorous	0
not seemly	0
not appropriate	0
not fitting	0
not apt	0
not suitable	0
not convenient	0
not expedient	0
not favourable	0
not favorable	0
not auspicious	0
not propitious	0
not opportune	0
not felicitous	0
not timely	0
not well judged	0
not well timed	0
not reliable	0
not dependable	0
not "true"	0
not faithful	0
not devoted	0
not steady	0
not steadfast	0
not staunch	0
not unswerving	0
not unwavering	0
not constant	0
not loyal	0
not trusty	0
not dutiful	0
not dedicated	0
not commited	0
not unfailing	0
not kind	0
not kindly	0
not kind-hearted	0
not good-hearted	0
not friendly	0
not obliging	0
not generous	0
not charitable	0
not magnanimous	0
not gracious	0
not sympathetic	0
not benevolent	0
not benign	0
not altruistic	0
not unselfish	0
not selfless	0
not appropriate	0
not agreeable	0
not wholesome	0
